Vol,Year,Title,题目,网址
122-114,2019,25 years of DECOVALEX - Scientific advances and lessons learned from an international research collaboration in coupled subsurface processes,DECOVALEX 25年 - 从耦合地下过程的国际研究合作中获得的科学进步和经验教训,/science/article/pii/S1365160918308451/pdfft?md5=5a9946073e2207e26a09ea4cb970bce7&pid=1-s2.0-S1365160918308451-main.pdf
122-114,2019,Publisher's Note,出版商的说明,/science/article/pii/S1365160919308524/pdfft?md5=99d8488caee92b3a3da6c925891fde65&pid=1-s2.0-S1365160919308524-main.pdf
122-114,2019,Multiscale evaluation of potential damage in jetted lateral boreholes,喷射侧向钻孔潜在损伤的多尺度评估,/science/article/pii/S1365160918309948/pdfft?md5=890453ccf25e70b6e5f36474edea798a&pid=1-s2.0-S1365160918309948-main.pdf
122-114,2019,Damage assessment and blast vibrations controlling considering rock properties of underwater blasting,考虑水下爆破岩石特性的损伤评估与爆破震动控制,/science/article/pii/S1365160918306956/pdfft?md5=2792fa1aac701f0b44a853c45d3c3822&pid=1-s2.0-S1365160918306956-main.pdf
122-114,2019,Simulation of localized compaction in Tuffeau de Maastricht based on evidence from X-ray tomography,基于X射线断层扫描证据的Tuffeau de Maastricht局部压实模拟,/science/article/pii/S1365160919300711/pdfft?md5=ebc55628f03750c48f4aec58e38c9297&pid=1-s2.0-S1365160919300711-main.pdf
122-114,2019,Investigation of longwall headgate stress distribution with an emphasis on pillar behavior,长壁车头应力分布的研究，重点是支柱性能,/science/article/pii/S1365160918311882/pdfft?md5=6b51004ecf414dbf63b825eaf5d29bb6&pid=1-s2.0-S1365160918311882-main.pdf
122-114,2019,A new apparatus for the concurrent measurement of friction and permeability evolution in fault gouge,一种同时测量断层泥中摩擦渗透率演化的新装置,/science/article/pii/S1365160918311869/pdfft?md5=d4418f6ce05eba93d3e8c803cb6cac79&pid=1-s2.0-S1365160918311869-main.pdf
122-114,2019,Editorial Board,编委会,/science/article/pii/S1365160919308354/pdfft?md5=e1d26dde84d78590ee0a2f8bdf5f3afc&pid=1-s2.0-S1365160919308354-main.pdf
122-114,2019,An analytical model for shear behaviour of bolted rock joints,螺栓连接岩石剪切特性的解析模型,/science/article/pii/S1365160918305045/pdfft?md5=4d1061ba8971a8c4f2a507d5b0ec64f9&pid=1-s2.0-S1365160918305045-main.pdf
122-114,2019,Editorial Board,编委会,/science/article/pii/S1365160919306963/pdfft?md5=9bd45f44a423f032368c19507b9a5417&pid=1-s2.0-S1365160919306963-main.pdf
122-114,2019,Heat transfer in salt caverns,盐穴中的传热,/science/article/pii/S1365160919302187/pdfft?md5=4cd501202ccf64be003e3b1d20c808e8&pid=1-s2.0-S1365160919302187-main.pdf
122-114,2019,Predicting the shear characteristics of rock joints with asperity degradation and debris backfilling under cyclic loading conditions,在循环荷载条件下预测岩石节理的剪切特性与粗糙度退化和碎屑回填,/science/article/pii/S1365160917313382/pdfft?md5=1d6cda43f7e0d9a24b92e60c30c32d69&pid=1-s2.0-S1365160917313382-main.pdf
122-114,2019,Investigation of shear slip in hot fractured rock,热裂隙岩体剪切滑移研究,/science/article/pii/S1365160918311353/pdfft?md5=e9b0bb342b2b1c49f16a5dd933bb14ae&pid=1-s2.0-S1365160918311353-main.pdf
122-114,2019,Flexible and practical parallel implementation for coupled elastoplastic geomechanics and non-isothermal flow,灵活实用的并联实现，适用于耦合弹塑性地质力学和非等温流动,/science/article/pii/S1365160918312024/pdfft?md5=34a8fd07f25715f3a1a5c4c0b4311a79&pid=1-s2.0-S1365160918312024-main.pdf
122-114,2019,Triaxial extension tests on sandstone using a simple auxiliary apparatus,使用简单的辅助设备对砂岩进行三轴延伸试验,/science/article/pii/S1365160919300073/pdfft?md5=676d8cc06d822242cb248b6ae921de12&pid=1-s2.0-S1365160919300073-main.pdf
122-114,2019,Load transfer in drilled piles for concrete-rock interface with similar triangular asperities,钻孔桩中的荷载传递，用于具有类似三角形粗糙度的混凝土 - 岩石界面,/science/article/pii/S1365160918308657/pdfft?md5=0e6a713a6bb065fd928cf24a20c02b70&pid=1-s2.0-S1365160918308657-main.pdf
122-114,2019,Investigation of non-explosive expansion material in roof caving field application,屋面崩落场应用中非爆炸膨胀材料的研究,/science/article/pii/S1365160918309924/pdfft?md5=b51b105d97031d461972029c15208a66&pid=1-s2.0-S1365160918309924-main.pdf
122-114,2019,A novel 3D clumped particle method to simulate the complex mechanical behavior of rock,一种新的三维团块粒子方法来模拟岩石的复杂力学行为,/science/article/pii/S1365160919300656/pdfft?md5=2e09423bf11036d6bdc8d26ca8df7cba&pid=1-s2.0-S1365160919300656-main.pdf
122-114,2019,Study of deformation and failure in an anisotropic rock with a three-dimensional discrete element model,用三维离散元模型研究各向异性岩石的变形破坏,/science/article/pii/S1365160918309687/pdfft?md5=e62515f6a68f4c8b4521eb8888ea3c1a&pid=1-s2.0-S1365160918309687-main.pdf
122-114,2019,Numerical research on rock breaking by abrasive water jet-pick under confining pressure,围压下磨料水射流破岩的数值研究,/science/article/pii/S1365160918307378/pdfft?md5=fba10f4d28d9f5539e816f68fe6920db&pid=1-s2.0-S1365160918307378-main.pdf
122-114,2019,The percussive process and energy transfer efficiency of percussive drilling with consideration of rock damage,考虑岩石损伤的冲击钻井冲击过程和能量转移效率,/science/article/pii/S1365160918305951/pdfft?md5=da933d45bf973433a3242cca0789e0fc&pid=1-s2.0-S1365160918305951-main.pdf
122-114,2019,The impact of key strata movement on ground pressure behaviour in the Datong coalfield,关键地层运动对大同煤田地压力的影响,/science/article/pii/S1365160918305999/pdfft?md5=a6ff2831bfaa9a7ead159d67301b8697&pid=1-s2.0-S1365160918305999-main.pdf
122-114,2019,Mineralogically influenced stress corrosion cracking of rockbolts and cable bolts in underground mines,矿物学影响地下矿山岩栓和锚索的应力腐蚀开裂,/science/article/pii/S1365160918305653/pdfft?md5=e148317b709a25df3fd4ed014e40a4df&pid=1-s2.0-S1365160918305653-main.pdf
