Vol,Year,Title,题目,网址
106-102,2018,Study on crack initiation and damage stress in sandstone under true triaxial compression,真三轴压缩下砂岩裂纹萌生及破坏应力研究,/science/article/pii/S1365160917302423/pdfft?md5=5a53a15d1fc810b41ed1a9041195ce2f&pid=1-s2.0-S1365160917302423-main.pdf
106-102,2018,Reservoir rock chemo-mechanical alteration quantified by triaxial tests and implications to fracture reactivation,通过三轴试验量化的储层岩石化学 - 机械蚀变以及对裂缝再活化的影响,/science/article/pii/S136516091731002X/pdfft?md5=6c86cc2f6d303c155c20a23f1df5be1f&pid=1-s2.0-S136516091731002X-main.pdf
106-102,2018,The role of stress interference in hydraulic fracturing of horizontal wells,应力干扰在水平井水力压裂中的作用,/science/article/pii/S1365160917301685/pdfft?md5=5fc541be6d4302ccd59c79c7476113fb&pid=1-s2.0-S1365160917301685-main.pdf
106-102,2018,Creep properties of intact and fractured muddy siltstone,完整和破碎泥质粉砂岩的蠕变特性,/science/article/pii/S1365160917301144/pdfft?md5=407557cd95f0591069e2e775496a2bdf&pid=1-s2.0-S1365160917301144-main.pdf
106-102,2018,Analysis of acoustic emissions recorded during a mine-by experiment in an underground research laboratory in clay shales,在粘土页岩地下研究实验室的采矿实验中记录的声发射分析,/science/article/pii/S1365160917305701/pdfft?md5=5a0a40c51fa4f86838e03fdf6c9d43d6&pid=1-s2.0-S1365160917305701-main.pdf
106-102,2018,The normal stress space and its application to constructing a new failure criterion for cross-anisotropic geomaterials,正应力空间及其在构建交叉各向异性岩土材料破坏准则中的应用,/science/article/pii/S1365160916302556/pdfft?md5=c07c15ef0e479144b5efe79617a753d8&pid=1-s2.0-S1365160916302556-main.pdf
106-102,2018,Two-phase cement grout propagation in homogeneous water-saturated rock fractures,均质水饱和岩石裂隙中两相水泥浆的传播,/science/article/pii/S1365160917311000/pdfft?md5=b81558f6d5ea024ef514bfec84f7dcc3&pid=1-s2.0-S1365160917311000-main.pdf
106-102,2018,Replication of internal defects and investigation of mechanical and fracture behaviour of rock using 3D printing and 3D numerical methods in combination with X-ray computerized tomography,使用3D打印和3D数值方法结合X射线计算机断层扫描，复制内部缺陷并研究岩石的力学和断裂行为,/science/article/pii/S1365160917311590/pdfft?md5=6afd661626b1f71b6338d4349b55e34e&pid=1-s2.0-S1365160917311590-main.pdf
106-102,2018,Variational analysis of the ultimate pullout capacity of shallow circular anchor plates in rock foundations based on the Hoek-Brown failure criterion,基于Hoek-Brown破坏准则的岩基浅埋圆形锚板极限抗拔承载力变分分析,/science/article/pii/S1365160917303313/pdfft?md5=5c94407ce0eb1c201f1ff3bbdd29d7bd&pid=1-s2.0-S1365160917303313-main.pdf
106-102,2018,Numerical study of the impact mechanism of decoupling charge on blasting-enhanced permeability in low-permeability sandstones,作者：郝建军，王建华，王建华，岩土力学ROCK AND SOIL MECHANICS解耦电荷对低渗透砂岩爆破增渗作用机理的数值研究,/science/article/pii/S1365160917308031/pdfft?md5=ab216c0d72b2b4f0da7062aa1fccd48d&pid=1-s2.0-S1365160917308031-main.pdf
106-102,2018,Scalar-valued measures of stress dispersion,应力分散的标量值测量,/science/article/pii/S1365160918301199/pdfft?md5=7800d6f083be49043e271c6113198d7c&pid=1-s2.0-S1365160918301199-main.pdf
106-102,2018,An experimental study of the influence of uniaxial load on flame jet drilling,单轴载荷对火焰喷射钻孔影响的实验研究,/science/article/pii/S1365160918301527/pdfft?md5=0a5a19bae1bef1fd17fb5f3754c3fd03&pid=1-s2.0-S1365160918301527-main.pdf
106-102,2018,Μulti-jointed stratified hard rock roof analysis and design,多关节分层硬岩顶板分析与设计,/science/article/pii/S1365160917307335/pdfft?md5=f982f89d36ea3141a20a352b89b954af&pid=1-s2.0-S1365160917307335-main.pdf
106-102,2018,Evolution of permeability in sand injectite systems,砂注入系统渗透率的演变,/science/article/pii/S1365160917311474/pdfft?md5=5fd7c8b5125df1305adbdc1625ab7b93&pid=1-s2.0-S1365160917311474-main.pdf
106-102,2018,Cohesion degradation and friction mobilization in brittle failure of rocks,岩石脆性破坏时的内聚力退化和摩擦动力,/science/article/pii/S1365160918302600/pdfft?md5=ad2c51d88bf65158a47837116b8b406c&pid=1-s2.0-S1365160918302600-main.pdf
106-102,2018,Analytical solution of energy redistribution in rectangular openings upon in-situ rock mass alteration,原位岩体蚀变中矩形开口能量重分布的解析解,/science/article/pii/S1365160917311267/pdfft?md5=a4216077a34a167fedb49e79b843df69&pid=1-s2.0-S1365160917311267-main.pdf
106-102,2018,"Effect of impact velocity, block mass and hardness on the coefficients of restitution for rockfall analysis",冲击速度，块体质量和硬度对落石分析恢复系数的影响,/science/article/pii/S1365160917309917/pdfft?md5=a855d007858364c9ab13802168a3d7be&pid=1-s2.0-S1365160917309917-main.pdf
106-102,2018,Calibrating the stress-time curve of a combined finite-discrete element method to a Split Hopkinson Pressure Bar experiment,校准组合有限 - 离散元法的应力 - 时间曲线与Split Hopkinson压杆实验,/science/article/pii/S1365160917311449/pdfft?md5=66035bdfba880ee43b2f6d29ff8471d7&pid=1-s2.0-S1365160917311449-main.pdf
106-102,2018,Solution of the elasto-plastic interface of circular tunnels in Hoek–Brown media subjected to non-hydrostatic stress,Hoek-Brown介质中圆形隧道弹塑性界面的非静水压力求解,/science/article/pii/S1365160917311255/pdfft?md5=1653b9d69d893bf4daafce6738dffe36&pid=1-s2.0-S1365160917311255-main.pdf
106-102,2018,Dynamic response of mine pit walls,矿坑墙的动力响应,/science/article/pii/S1365160916303136/pdfft?md5=9cb7784e8bf86f1075eaf5de225f07f0&pid=1-s2.0-S1365160916303136-main.pdf
106-102,2018,In situ identification of water-permeable fractured zone in overlying composite strata,上覆复合地层透水性裂缝带的原位识别,/science/article/pii/S1365160917305300/pdfft?md5=9791e77f5e67bd0c30fb44c98495cf4c&pid=1-s2.0-S1365160917305300-main.pdf
106-102,2018,Investigation of the formation mechanism of coal spallation through the cross-coupling relations of multiple physical processes,通过多个物理过程的交叉耦合关系研究煤炭散裂的形成机理,/science/article/pii/S1365160917309036/pdfft?md5=adc6bef2f2d4e0435eda7a849af0d57a&pid=1-s2.0-S1365160917309036-main.pdf
106-102,2018,A step towards the end of the scale effect conundrum when predicting the shear strength of large in situ discontinuities,在预测大的原位不连续的剪切强度时，迈向尺度效应难题结束的一步,/science/article/pii/S1365160917309383/pdfft?md5=d2f1067f8984012647e59f7a9958e57e&pid=1-s2.0-S1365160917309383-main.pdf
106-102,2018,Experimental study on the confinement-dependent characteristics of a Utah coal considering the anisotropy by cleats,考虑到夹板各向异性的犹他州煤的约束依赖特性试验研究,/science/article/pii/S1365160917312418/pdfft?md5=a06d22881f3985c322c2e6a04d89c22d&pid=1-s2.0-S1365160917312418-main.pdf
