Vol,Year,Title,题目,网址
110-106,2018,Study of a no-pillar mining technique with automatically formed gob-side entry retaining for longwall mining in coal mines,作者：郝建军，煤矿安全SAFETY IN COAL MINES煤矿长壁开采自然形成采空区留巷无支柱开采技术研究,/science/article/pii/S1365160918301096/pdfft?md5=c0aa5a419bc3fb01615747f151c0a255&pid=1-s2.0-S1365160918301096-main.pdf
110-106,2018,Numerical and analytical study of rate effects on drilling forces under bottomhole pressure,井底压力下钻速对速率影响的数值分析研究,/science/article/pii/S1365160917312777/pdfft?md5=a134155134215a7bb996352d703f719b&pid=1-s2.0-S1365160917312777-main.pdf
110-106,2018,Shear failure of a granite pin traversing a sawcut fault,花岗岩销的剪切失败穿过锯切断层,/science/article/pii/S1365160918302806/pdfft?md5=32d134e09d606b08aa58772f6c38e2c1&pid=1-s2.0-S1365160918302806-main.pdf
110-106,2018,Rapid mapping and analysing rock mass discontinuities with 3D terrestrial laser scanning in the underground excavation,利用三维地面激光扫描快速绘制和分析岩体不连续性在地下开挖中的应用,/science/article/pii/S1365160917309589/pdfft?md5=9b69bb89c83dd5d317a0ede21b4c2b14&pid=1-s2.0-S1365160917309589-main.pdf
110-106,2018,Energy-based approach for fracture assessment of several rocks containing U-shaped notches through the application of the SED criterion,基于能量的方法，通过应用SED标准对含有U形槽口的几块岩石进行裂缝评估,/science/article/pii/S1365160918300777/pdfft?md5=22e8f51b57b371b33de5478fe927c515&pid=1-s2.0-S1365160918300777-main.pdf
110-106,2018,Investigation of static/dynamic moduli and plastic response of shale specimens,页岩试件静动态模量与塑性响应研究,/science/article/pii/S1365160918300492/pdfft?md5=db2ab2117e0262ae5c8ce045755a8e09&pid=1-s2.0-S1365160918300492-main.pdf
110-106,2018,Mechanical properties and damage constitutive model of coal in coal-rock combined body,煤岩组合体煤的力学特性及损伤本构模型,/science/article/pii/S1365160917312558/pdfft?md5=2f0d504410e1c5642f4f924ea7957f99&pid=1-s2.0-S1365160917312558-main.pdf
110-106,2018,Non-local failure theory and two-parameter tensile strength model for semi-circular bending tests of granitic rocks,花岗岩岩石半圆形弯曲试验的非局部破坏理论和双参数抗拉强度模型,/science/article/pii/S1365160918303472/pdfft?md5=3c1534f26b2afc8220606c77b19f49a6&pid=1-s2.0-S1365160918303472-main.pdf
110-106,2018,Laboratory study on the time-dependent behavior of intact and failed sandstone specimens under an unconfined condition with the relaxation test,实验研究完整和失效砂岩试样在无限制条件下的松弛试验时间依赖性,/science/article/pii/S136516091830323X/pdfft?md5=a3dd07ee024abd2a388dcb4eb47d07b4&pid=1-s2.0-S136516091830323X-main.pdf
110-106,2018,Time-dependent behaviour and modeling of Jinping marble under true triaxial compression,金三角大理岩在真三轴压缩作用下的时效行为及建模,/science/article/pii/S1365160918304374/pdfft?md5=9e90fef44a567634f700d76a91936a29&pid=1-s2.0-S1365160918304374-main.pdf
110-106,2018,Numerical investigation of load shedding and rockburst reduction effects of top-coal caving mining in thick coal seams,厚煤层放顶煤开采减载与岩爆减少效应的数值研究,/science/article/pii/S1365160916305688/pdfft?md5=17bff9bd28535ef0545f35c2a90cda06&pid=1-s2.0-S1365160916305688-main.pdf
110-106,2018,Numerical determination of deformability and strength of 3D fractured rock mass,三维裂隙岩体变形和强度的数值确定,/science/article/pii/S1365160917312170/pdfft?md5=c60494d5efd23c58c4624e9906805e57&pid=1-s2.0-S1365160917312170-main.pdf
110-106,2018,Rock fails in shearing as a tuned critical system,Rock作为一个经过调整的关键系统剪切失败,/science/article/pii/S1365160917311061/pdfft?md5=50c42584537c0641441cac8a38d0e9c8&pid=1-s2.0-S1365160917311061-main.pdf
110-106,2018,Behaviour of rock joint reinforced by energy-absorbing rock bolt under cyclic shear loading condition,循环剪切荷载作用下吸能岩石锚杆加固岩石的性状,/science/article/pii/S1365160917313497/pdfft?md5=a9c243f2157cc01a1a7ec3e14cdfd6c4&pid=1-s2.0-S1365160917313497-main.pdf
110-106,2018,Migration-based microseismic event location in the Schlema-Alberoda mining area,位于Schlema-Alberoda矿区的基于迁移的微震事件位置,/science/article/pii/S1365160917304720/pdfft?md5=5011ab0558015b123771a0dd254793d4&pid=1-s2.0-S1365160917304720-main.pdf
110-106,2018,Mechanistic analysis of coal permeability evolution data under stress-controlled conditions,应力控制条件下煤岩渗透率演化数据的力学分析,/science/article/pii/S1365160917312728/pdfft?md5=3e08913738d97e51a05fa6444920c10b&pid=1-s2.0-S1365160917312728-main.pdf
110-106,2018,A plastic strain-based damage model for heterogeneous coal using cohesion and dilation angle,基于塑性应变的非均质煤利用内聚力和膨胀角损伤模型,/science/article/pii/S1365160917302289/pdfft?md5=897be66a1989b433dcd1835b267b5635&pid=1-s2.0-S1365160917302289-main.pdf
110-106,2018,Experimental investigation of the influence of pore pressure and porosity on the deformation of granular salt,孔隙压力和孔隙率对颗粒盐变形影响的实验研究,/science/article/pii/S1365160918300509/pdfft?md5=657e047845693f9122d67f024f186196&pid=1-s2.0-S1365160918300509-main.pdf
110-106,2018,In situ monitoring and analysis of the mining-induced deep ground movement in a metal mine,金属矿山采动引起的深层地基移动的现场监测与分析,/science/article/pii/S1365160917308729/pdfft?md5=d87675647d3137af8730ad95f052e96f&pid=1-s2.0-S1365160917308729-main.pdf
110-106,2018,Study on the long-hole raising technique using one blast based on vertical crater retreat multiple deck shots,基于垂直火山口撤退多层炮弹的一次爆破长孔提升技术研究,/science/article/pii/S1365160917308237/pdfft?md5=649e4511e1df741a5c99a3ddd86e4ff7&pid=1-s2.0-S1365160917308237-main.pdf
110-106,2018,Mechanical response of fully bonded bolts under cyclic load,循环荷载作用下全粘结锚杆的力学响应,/science/article/pii/S1365160917310006/pdfft?md5=dbdec82425ffa75c77c10dc71dec7444&pid=1-s2.0-S1365160917310006-main.pdf
110-106,2018,A hierarchical-fractal approach for the rock reconstruction and numerical analysis,一种用于岩石重建和数值分析的分层分形方法,/science/article/pii/S1365160918300315/pdfft?md5=91f7bee83d172565fa54e8715ce6305c&pid=1-s2.0-S1365160918300315-main.pdf
110-106,2018,Quantitative characterization of joint roughness based on semivariogram parameters,基于半变异函数参数的关节粗糙度定量表征,/science/article/pii/S1365160917312364/pdfft?md5=f2732ace30232e5292c2f86aae8cf6ec&pid=1-s2.0-S1365160917312364-main.pdf
110-106,2018,Validation of fracture data recognition in rock masses by automated plane detection in 3D point clouds,通过三维点云中的自动平面检测验证岩体中的裂缝数据识别,/science/article/pii/S1365160916305615/pdfft?md5=1ff4d66ec763dad8d73aed79fc9b1815&pid=1-s2.0-S1365160916305615-main.pdf
